Comment;Tag
kekeruhan;KELUHAN
 ;O
air;O
 ;O
pam;O
 ;O
daerah;WILAYAH
 ;O
gunung;WILAYAH
 ;O
sari;WILAYAH
 ;O
jl;WILAYAH
 ;O
golf;WILAYAH
 ;O
rumah;WILAYAH
 ;O
dinas;WILAYAH
 ;O
marinir;WILAYAH
 ;O
air;O
 ;O
kotor;KELUHAN
 ;O
banget;O
 ;O
banyak;O
 ;O
pasir;KELUHAN
 ;O
n;O
 ;O
kayak;O
 ;O
lumut;KELUHAN
 ;O
halus;O
 ;O
hitam;KELUHAN
 ;O
airnya;O
 ;O
bukan;O
 ;O
keruh;KELUHAN
 ;O
09/06/2023;WAKTU
;O
 ;O
08:39:00;WAKTU
 ;O
PM;WAKTU
 ;O
buset;O
 ;O
omahku;O
 ;O
kedurus;WILAYAH
 ;O
detik;WAKTU
 ;O
iki;O
 ;O
enggak;O
 ;O
mengalir;O
 ;O
blas;O
 ;O
mulai;O
 ;O
wingi;WAKTU
 ;O
bengi;WAKTU
 ;O
sono;O
 ;O
maslaah;O
 ;O
opo;O
 ;O
sih;O
 ;O
sak;O
 ;O
omahku;O
 ;O
mambue;KELUHAN
 ;O
kayak;O
 ;O
galangan;KELUHAN
 ;O
olahraga;O
 ;O
9/16/2023;WAKTU
;O
 ;O
11:35:36;WAKTU
 ;O
AM;WAKTU
 ;O
air;O
 ;O
nya;O
 ;O
keruh;KELUHAN
 ;O
nih;O
 ;O
daerah;WILAYAH
 ;O
kedurus;WILAYAH
 ;O
galian;O
 ;O
bogangin;O
 ;O
kapan;O
 ;O
9/14/2023;WAKTU
;O
 ;O
06:15:27;
 ;O
PM;WAKTU
 ;O
jalan;WILAYAH
 ;O
sidoyoso;WILAYAH
 ;O
kapan;O
 ;O
selesainya;O
 ;O
9/14/2023;WAKTU
;O
 ;O
06:25:35;WAKTU
 ;O
PM;WAKTU
 ;O
alhamdulillah;O
 ;O
air;O
 ;O
ku;O
 ;O
sekarang;WAKTU
 ;O
lancar;O
 ;O
pak;O
 ;O
terima;O
 ;O
kasih;O
 ;O
9/14/2023;WAKTU
;O
 ;O
06:53:13;WAKTU
 ;O
PM;WAKTU
 ;O
pengerjaan;KELUHAN
 ;O
lama;KELUHAN
 ;O
bikin;O
 ;O
macet;KELUHAN
 ;O
mbok;O
 ;O
dikerjakan;O
 ;O
24;O
 ;O
jam;O
 ;O
biar;O
 ;O
cepat;O
 ;O
selesai;O
 ;O
9/14/2023;WAKTU
;O
 ;O
08:05:51;WAKTU
 ;O
PM;WAKTU
 ;O
alhamdulillah;O
 ;O
tetap;O
 ;O
semangat;O
 ;O
9/14/2023;WAKTU
;O
 ;O
08:26:48;WAKTU
 ;O
PM;WAKTU
 ;O
simo;WILAYAH
 ;O
hilir;WILAYAH
 ;O
mati;KELUHAN
 ;O
2;O
 ;O
harii;O
 ;O
9/15/2023;WAKTU
;O
 ;O
07:24:57;WAKTU
 ;O
AM;WAKTU
 ;O
min;O
 ;O
simohilir;WILAYAH
 ;O
air;O
 ;O
enggak;KELUHAN
 ;O
keluar;KELUHAN
 ;O
sama;O
 ;O
sekali;O
 ;O
2;O
 ;O
hari;O
 ;O
9/15/2023;WAKTU
;O
 ;O
11:33:08;WAKTU
 ;O
AM;WAKTU
 ;O
3;O
 ;O
hari;O
 ;O
9/15/2023;WAKTU
;O
 ;O
05:43:26;WAKTU
 ;O
PM;WAKTU
 ;O
gangguan;O
 ;O
manyar;WILAYAH
 ;O
rejo;WILAYAH
 ;O
daerah;WILAYAH
 ;O
tapsir;WILAYAH
 ;O
kena;O
 ;O
imbasnya;O
 ;O
9/17/2023;WAKTU
;O
 ;O
02:29:16;WAKTU
 ;O
PM;WAKTU
 ;O
sebelah;WILAYAH
 ;O
kampus;WILAYAH
 ;O
uinsa;WILAYAH
 ;O
2;O
 ;O
adaasemangat;O
 ;O
bapak;O
 ;O
9/17/2023;WAKTU
;O
 ;O
10:50:58;WAKTU
 ;O
PM;WAKTU
 ;O
kemitraan;O
 ;O
solidaritas;O
 ;O
kok;O
 ;O
dibalik;O
 ;O
solidaritas;O
 ;O
kemitraan;O
