Comment;Tag
4:25:45;WAKTU
 ;O
PM;WAKTU
 ;O
min;O
 ;O
harga;O
 ;O
per;O
 ;O
kubik;O
 ;O
berapa;O
 ;O
sekarang;O
 ;O
soalnya;O
 ;O
tagihan;KELUHAN
 ;O
pdam;O
 ;O
11;O
 ;O
juta;O
 ;O
padahal;KELUHAN
 ;O
pemakaian;O
 ;O
sangat;O
 ;O
jarang;O
 ;O
10/2/2023;WAKTU
,;O
 ;O
10:35:15;WAKTU
 ;O
AM;WAKTU
 ;O
dijalan;O
 ;O
petemon;WILAYAH
 ;O
sidomulyo;WILAYAH
 ;O
gang;WILAYAH
 ;O
3a;O
 ;O
kemarin;WAKTU
 ;O
pemasangan;O
 ;O
pipa;O
 ;O
pdam;O
 ;O
kondisi;O
 ;O
sekarang;WAKTU
 ;O
bocor;KELUHAN
 ;O
10/12/2023;WAKTU
,;O
 ;O
8:50:11;WAKTU
 ;O
PM;WAKTU
 ;O
percuma;KELUHAN
 ;O
meskipun;KELUHAN
 ;O
mengadu;KELUHAN
 ;O
pdam;O
 ;O
2bln;O
 ;O
sambat;KELUHAN
 ;O
enggak;O
 ;O
ngarah;O
 ;O
direken;O
 ;O
tagihan;KELUHAN
 ;O
3bln;O
 ;O
tembus;O
 ;O
bayar;O
 ;O
1850000;O
 ;O
wuiks;O
 ;O
hebat;O
 ;O
padahal;KELUHAN
 ;O
pemakaian;O
 ;O
jarang;O
 ;O
10/12/2023;WAKTU
,;O
 ;O
8:50:59;WAKTU
 ;O
PM;WAKTU
 ;O
meskipun;KELUHAN
 ;O
dm;O
 ;O
tetap;O
 ;O
bayar;O
 ;O
segitu;O
 ;O
bos;O
 ;O
nyogehno;KELUHAN
 ;O
pdam;O
 ;O
10/13/2023;WAKTU
,;O
 ;O
12:07:41;WAKTU
 ;O
AM;WAKTU
 ;O
2112693;O
 ;O
10/13/2023;WAKTU
,;O
 ;O
4:02:21;WAKTU
 ;O
PM;WAKTU
 ;O
meteran;O
 ;O
diambil;O
 ;O
iku;O
 ;O
maksudnya;O
 ;O
bagaimana;O
 ;O
konfirmasi;O
 ;O
kalo;O
 ;O
dikatakan;O
 ;O
maling;KELUHAN
 ;O
situ;O
 ;O
marah;KELUHAN
-;O
marah;KELUHAN
 ;O
enggak;O
 ;O
tau;O
 ;O
aturan;O
 ;O
kalo;O
 ;O
mau;O
 ;O
ambil;O
 ;O
meteran;O
 ;O
bilang;O
 ;O
dulu;O
 ;O
bos;O
 ;O
jangan;O
 ;O
sluman;KELUHAN
 ;O
slumun;KELUHAN
 ;O
selamat;O
 ;O
10/19/2023;WAKTU
,;O
 ;O
6:27:00;WAKTU
 ;O
PM;WAKTU
 ;O
cek;O
 ;O
dm;O
 ;O
parah;KELUHAN
 ;O
benar;O
 ;O
9/13/2023;WAKTU
,;O
 ;O
6:55:14;WAKTU
 ;O
AM;WAKTU
 ;O
vivat;O
 ;O
10/12/2023;WAKTU
,;O
 ;O
10:53:11;WAKTU
 ;O
PM;WAKTU
 ;O
daerah;O
 ;O
setro;WILAYAH
 ;O
baru;O
 ;O
utara;O
 ;O
i;O
 ;O
jatah;O
 ;O
air;O
 ;O
sekali;O
 ;O
sekali;O
 ;O
itupun;O
 ;O
jam;O
 ;O
11;O
 ;O
malam;WAKTU
 ;O
tolkng;KELUHAN
 ;O
tindak;O
 ;O
lanjuti;O
 ;O
laporan;O
 ;O
enggak;O
 ;O
gubris;KELUHAN
 ;O
9/28/2023;WAKTU
,;O
 ;O
1:01:44;WAKTU
 ;O
PM;WAKTU
 ;O
amin;O
 ;O
9/7/2023;WAKTU
,;O
 ;O
7:07:00;WAKTU
 ;O
PM;WAKTU
 ;O
coba;O
 ;O
tesnya;O
 ;O
jam;O
 ;O
3;O
 ;O
malam;WAKTU
 ;O
hari;O
 ;O
asti;O
 ;O
keruh;KELUHAN
 ;O
9/7/2023;WAKTU
,;O
 ;O
7:23:25;WAKTU
 ;O
PM;WAKTU
 ;O
pertanyaannya;O
 ;O
sebenarnya;O
 ;O
pdam;O
 ;O
ambil;O
 ;O
airnya;O
 ;O
mana;KELUHAN
 ;O
kok;KELUHAN
 ;O
hitam;KELUHAN
 ;O
kayak;O
 ;O
9/7/2023;WAKTU
,;O
 ;O
7:43:33;WAKTU
 ;O
PM;WAKTU
 ;O
sambikerep;WILAYAH
 ;O
mana;O
 ;O
sambikerep;WILAYAH
 ;O
9/7/2023;WAKTU
,;O
 ;O
7:50:52;WAKTU
 ;O
PM;WAKTU
 ;O
iya;O
 ;O
9/7/2023;WAKTU
,;O
 ;O
7:57:32;WAKTU
 ;O
PM;WAKTU
 ;O
sambikerep;WILAYAH
 ;O
bersih;O
 ;O
terima;O
 ;O
kasih;O
 ;O
9/7/2023;WAKTU
,;O
 ;O
8:18:51;WAKTU
 ;O
PM;WAKTU
 ;O
lontar;WILAYAH
 ;O
keruh;KELUHAN
 ;O
airnya;O
 ;O
9/7/2023;WAKTU
,;O
 ;O
8:23:12;WAKTU
 ;O
PM;WAKTU
 ;O
ditempat;O
 ;O
keruh;KELUHAN
 ;O
airnya;O
 ;O
9/7/2023;WAKTU
,;O
 ;O
9:12:07;WAKTU
 ;O
PM;WAKTU
 ;O
kedurus;WILAYAH
 ;O
iva;O
 ;O
keruh;KELUHAN
 ;O
airnya;O
 ;O
kotor;KELUHAN
 ;O
banget;KELUHAN
 ;O
warna;O
 ;O
hitam;KELUHAN
 ;O
